case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core062,2,2,True,26.32,20.0,37.82,pyannote_31_fixedN,same_gender_similar,mandarin,0.44
v2_core063,2,2,True,20.96,17.04,29.64,pyannote_31_fixedN,same_gender_similar,mandarin,0.45
v2_core064,2,2,True,18.92,13.67,26.81,pyannote_31_fixedN,same_gender_similar,mandarin,0.53
v2_core065,2,2,True,10.21,4.41,8.94,pyannote_31_fixedN,same_gender_similar,mandarin,0.48
v2_core066,2,2,True,19.59,15.27,28.19,pyannote_31_fixedN,same_gender_similar,mandarin,0.33
v2_core067,2,2,True,13.17,7.52,14.01,pyannote_31_fixedN,same_gender_similar,mandarin,0.49
v2_core068,2,2,True,15.04,9.92,23.29,pyannote_31_fixedN,same_gender_similar,mandarin,0.53
v2_core069,2,2,True,13.39,9.83,18.27,pyannote_31_fixedN,same_gender_similar,mandarin,0.33
v2_core070,2,2,True,17.19,11.91,23.99,pyannote_31_fixedN,same_gender_similar,mandarin,0.47
v2_core071,3,3,True,7.71,0.96,2.94,pyannote_31_fixedN,third_party_background,mandarin,0.38
v2_core072,3,3,True,35.7,32.77,47.42,pyannote_31_fixedN,third_party_background,mandarin,0.33
v2_core073,3,3,True,23.48,18.27,29.69,pyannote_31_fixedN,third_party_background,mandarin,0.43
v2_core074,3,3,True,6.66,0.37,0.62,pyannote_31_fixedN,third_party_background,mandarin,0.32
v2_core075,3,3,True,23.83,18.4,27.55,pyannote_31_fixedN,third_party_background,mandarin,0.38
v2_core076,3,3,True,20.79,16.69,26.62,pyannote_31_fixedN,third_party_background,mandarin,0.42
v2_core077,3,3,True,29.98,24.74,38.83,pyannote_31_fixedN,third_party_background,mandarin,0.25
v2_core078,3,3,True,45.4,41.96,64.4,pyannote_31_fixedN,third_party_background,mandarin,0.37
v2_core079,3,3,True,6.81,1.74,5.47,pyannote_31_fixedN,third_party_background,mandarin,0.28
v2_core080,3,3,True,7.65,2.9,4.48,pyannote_31_fixedN,third_party_background,mandarin,0.45
v2_core081,2,2,True,9.11,2.31,5.1,pyannote_31_fixedN,clean_turn_taking,mandarin,0.46
v2_core082,2,2,True,5.69,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.44
v2_core083,2,2,True,17.88,13.72,28.2,pyannote_31_fixedN,clean_turn_taking,mandarin,0.47
v2_core084,2,2,True,4.59,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.35
v2_core085,2,2,True,52.44,49.91,74.96,pyannote_31_fixedN,clean_turn_taking,mandarin,0.51
v2_core086,2,2,True,3.7,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.49
v2_core087,2,2,True,8.94,3.04,5.89,pyannote_31_fixedN,reentry_short_gap,mandarin,0.48
v2_core088,2,2,True,5.54,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.45
v2_core089,2,2,True,28.65,24.71,45.46,pyannote_31_fixedN,reentry_short_gap,mandarin,0.47
v2_core090,2,2,True,12.5,5.62,10.66,pyannote_31_fixedN,reentry_short_gap,mandarin,0.52
